order_id,product
1001,Butter
1001,Spices
1002,Rice
1002,Oil
1002,Spices
1003,Banana
1003,Salt
1003,Soap
1003,Yogurt
1003,Milk
1003,Detergent
1004,Orange
1004,Eggs
1004,Soap
1004,Tomato
1004,Detergent
1004,Onion
1005,Coffee
1005,Milk
1005,Sugar
1006,Cheese
1006,Eggs
1006,Bread
1007,Bread
1007,Apple
1008,Rice
1008,Biscuits
1008,Spices
1008,Milk
1008,Jam
1009,Shampoo
1009,Soap
1009,Toothpaste
1010,Onion
1010,Dal
1010,Rice
1011,Cheese
1011,Juice
1012,Onion
1012,Yogurt
1012,Coffee
1013,Bread
1013,Salt
1013,Sugar
1013,Tomato
1013,Orange
1013,Juice
1014,Rice
1014,Coffee
1014,Yogurt
1015,Apple
1015,Banana
1015,Orange
1016,Shampoo
1016,Soap
1016,Toothpaste
1017,Apple
1017,Banana
1017,Orange
1018,Bread
1018,Toothpaste
1019,Coffee
1019,Milk
1019,Sugar
1020,Milk
1020,Bread
1020,Butter
1021,Shampoo
1021,Rice
1021,Juice
1021,Spices
1021,Coffee
1021,Toothpaste
1022,Tomato
1022,Toothpaste
1022,Orange
1022,Coffee
1022,Sugar
1023,Oil
1023,Tomato
1024,Potato
1024,Spices
1024,Onion
1025,Salt
1025,Tea
1025,Milk
1025,Onion
1025,Apple
1026,Rice
1026,Juice
1026,Yogurt
1027,Milk
1027,Bread
1027,Butter
1028,Sugar
1028,Banana
1028,Cheese
1028,Tea
1029,Yogurt
1029,Dal
1030,Butter
1030,Cheese
1031,Salt
1031,Milk
1031,Juice
1031,Dal
1031,Banana
1031,Potato
1032,Toothpaste
1032,Butter
1032,Lotion
1032,Onion
1033,Cheese
1033,Soap
1033,Toothpaste
1033,Yogurt
1033,Butter
1034,Detergent
1034,Sugar
1034,Biscuits
1035,Shampoo
1035,Soap
1035,Toothpaste
1036,Shampoo
1036,Soap
1036,Toothpaste
1037,Apple
1037,Banana
1037,Orange
1038,Sugar
1038,Milk
1038,Potato
1038,Rice
1039,Banana
1039,Sugar
1040,Shampoo
1040,Soap
1040,Toothpaste
1041,Apple
1041,Biscuits
1042,Cheese
1042,Eggs
1042,Bread
1043,Soap
1043,Tomato
1043,Orange
1043,Milk
1043,Yogurt
1044,Tomato
1044,Potato
1044,Onion
1045,Milk
1045,Bread
1045,Butter
1046,Tomato
1046,Potato
1046,Onion
1047,Apple
1047,Chips
1048,Tomato
1048,Potato
1048,Onion
1049,Apple
1049,Banana
1049,Orange
1050,Milk
1050,Bread
1050,Butter
1051,Jam
1051,Biscuits
1051,Potato
1052,Bread
1052,Lotion
1052,Tomato
1052,Spices
1053,Milk
1053,Bread
1053,Butter
1054,Chips
1054,Tomato
1054,Onion
1055,Tomato
1055,Potato
1055,Onion
1056,Onion
1056,Apple
1056,Sugar
1057,Potato
1057,Banana
1057,Milk
1057,Soap
1058,Rice
1058,Oil
1058,Spices
1059,Bread
1059,Soap
1060,Butter
1060,Juice
1060,Onion
1060,Detergent
1060,Soap
1061,Lotion
1061,Tomato
1061,Biscuits
1061,Detergent
1061,Coffee
1061,Chips
1062,Apple
1062,Banana
1062,Orange
1063,Bread
1063,Cheese
1063,Yogurt
1064,Rice
1064,Oil
1064,Spices
1065,Yogurt
1065,Salt
1065,Bread
1065,Biscuits
1065,Shampoo
1066,Tea
1066,Sugar
1066,Biscuits
1067,Biscuits
1067,Orange
1067,Juice
1068,Tea
1068,Sugar
1068,Biscuits
1069,Orange
1069,Sugar
1069,Rice
1069,Banana
1069,Yogurt
1070,Soap
1070,Coffee
1070,Tomato
1070,Spices
1071,Apple
1071,Milk
1071,Sugar
1072,Toothpaste
1072,Bread
1073,Salt
1073,Orange
1073,Rice
1074,Apple
1074,Banana
1074,Orange
1075,Toothpaste
1075,Potato
1076,Tea
1076,Sugar
1076,Biscuits
1077,Rice
1077,Spices
1077,Juice
1077,Salt
1077,Lotion
1078,Butter
1078,Potato
1079,Rice
1079,Oil
1079,Spices
1080,Orange
1080,Spices
1080,Sugar
1080,Onion
1080,Eggs
1081,Banana
1081,Bread
1081,Apple
1081,Orange
1082,Cheese
1082,Eggs
1082,Bread
1083,Bread
1083,Oil
1084,Juice
1084,Tea
1084,Milk
1084,Jam
1085,Juice
1085,Oil
1085,Lotion
1085,Jam
1085,Soap
1086,Soap
1086,Detergent
1086,Orange
1086,Oil
1087,Lotion
1087,Juice
1087,Salt
1088,Milk
1088,Orange
1088,Bread
1088,Potato
1088,Detergent
1089,Rice
1089,Shampoo
1089,Potato
1090,Jam
1090,Tea
1090,Salt
1091,Sugar
1091,Toothpaste
1091,Bread
1091,Onion
1092,Tea
1092,Shampoo
1092,Dal
1092,Cheese
1093,Orange
1093,Dal
1094,Butter
1094,Tomato
1094,Onion
1095,Tea
1095,Sugar
1095,Biscuits
1096,Sugar
1096,Lotion
1096,Bread
1097,Bread
1097,Toothpaste
1097,Cheese
1097,Yogurt
1097,Shampoo
1098,Tomato
1098,Potato
1098,Onion
1099,Chips
1099,Lotion
1099,Oil
1099,Sugar
1099,Shampoo
1100,Shampoo
1100,Salt
1100,Apple
1100,Oil
1100,Toothpaste
1101,Tomato
1101,Potato
1101,Onion
1102,Coffee
1102,Biscuits
1102,Oil
